29,14.9
23,15.2
4,15.2
7,15.9
6,16.7
28,18.5
5,20.1
13,20.3
0,20.3
11,20.5
29,20.6
4,21.1
3,21.2
25,21.9
27,22.5
23,22.8
20,23.4
2,23.7
28,24.8
26,25.0
19,25.0
11,25.3
29,25.6
4,26.4
5,26.6
7,26.9
3,27.9
0,28.6
2,28.8
18,28.9
27,29.5
1,29.8
13,29.8
28,30.4
19,30.5
11,30.5
22,31.0
4,31.6
5,32.0
20,32.2
12,32.8
25,32.9
7,33.7
29,34.3
27,35.4
2,35.7
3,35.7
18,35.9
13,36.7
11,36.7
0,37.2
22,37.7
12,38.0
28,38.1
25,38.4
24,38.6
5,38.9
1,39.0
19,39.2
4,39.7
27,41.0
0,41.2
7,41.3
18,41.4
9,41.8
11,41.9
2,42.2
12,42.2
15,42.7
17,42.8
30,43.0
13,43.1
28,43.3
26,43.4
3,43.8
0,44.9
24,45.1
22,45.2
25,45.6
4,45.8
11,46.0
9,46.5
19,46.9
7,47.0
18,47.4
28,47.5
2,47.6
12,47.6
13,47.6
26,47.8
14,48.0
0,48.2
1,48.2
27,48.8
10,48.8
17,49.3
20,49.7
29,49.9
8,50.0
11,50.4
19,50.7
3,50.7
24,50.8
0,50.9
22,50.9
15,50.9
9,51.5
28,51.6
13,51.7
25,51.7
2,51.9
30,52.6
12,52.7
26,52.8
27,53.3
18,53.7
19,53.9
0,54.1
1,54.5
5,54.6
14,55.0
11,55.3
25,55.7
8,55.7
24,55.7
4,55.8
28,56.1
2,56.2
9,56.3
20,56.3
13,56.6
29,56.7
0,57.2
22,57.2
19,57.2
12,57.8
27,57.9
17,58.3
7,58.6
3,58.6
26,58.8
1,59.3
8,60.0
19,60.3
25,60.3
0,60.5
10,60.7
9,61.6
24,61.7
20,62.2
22,62.5
11,62.6
29,62.7
30,62.8
28,63.1
5,63.2
2,63.4
18,63.6
23,63.7
12,64.0
0,64.0
27,64.1
13,64.1
19,64.3
25,65.4
1,65.4
8,65.9
4,66.6
26,66.9
29,67.4
6,67.5
7,67.5
0,68.1
28,68.2
3,68.3
9,68.4
19,68.6
24,68.6
11,68.7
23,69.1
22,69.2
20,69.7
1,69.7
27,70.4
13,70.4
25,70.8
5,70.8
29,71.0
2,71.3
14,71.4
0,71.4
28,71.5
12,71.7
8,72.2
4,72.4
3,72.5
9,73.1
19,73.2
11,73.3
20,73.7
30,73.8
26,73.9
29,74.1
23,74.1
22,74.2
7,74.5
5,74.6
1,74.6
0,75.0
24,75.2
